Date;T_nh;Number;bu_i
07/10/2021 ;Bình __nh;1;T_i
07/10/2021 ;V_nh Phúc;1;T_i
07/10/2021 ;Thái Bình;1;T_i
07/10/2021 ;Ti_n Giang;75;Tr_a
07/10/2021 ;__ng Tháp;50;Tr_a
07/10/2021 ;V_nh Long;26;Tr_a
07/10/2021 ;Sóc Tr_ng;7;Tr_a
07/10/2021 ;H_ng Yên;7;Tr_a
07/10/2021 ;Phú Yên;7;Tr_a
07/10/2021 ;B_c Giang;4;Tr_a
07/10/2021 ;Trà Vinh;2;Tr_a
07/10/2021 ;Cà Mau;2;Tr_a
07/10/2021 ;B_c Ninh;2;Tr_a
07/10/2021 ;Ninh Thu_n;1;Tr_a
07/10/2021 ;B_c Liêu;1;Tr_a
07/10/2021 ;Kiên Giang;1;Tr_a
07/10/2021 ;Bình __nh;1;Tr_a
07/10/2021 ;Hà T_nh;1;Tr_a
07/10/2021 ;Thanh Hoá;1;Tr_a
07/10/2021 ;Thái Bình;1;Tr_a
07/10/2021 ;Hà Nam;1;Tr_a
07/10/2021 ;Tây Ninh;2;Sáng
07/10/2021 ;Hà N_i;1;Sáng
07/10/2021 ;__ng Nai;18;Sáng
07/10/2021 ;Khánh Hòa;15;Sáng
07/10/2021 ;Bà R_a – V_ng Tàu;11;Sáng
07/10/2021 ;An Giang;10;Sáng
07/10/2021 ;Phú Yên;8;Sáng
07/10/2021 ;Bình Ph__c;4;Sáng
07/10/2021 ;B_n Tre;2;Sáng
07/10/2021 ;Hà N_i;2;Sáng
07/10/2021 ;Thanh Hóa;2;Sáng
07/10/2021 ;Tây Ninh;1;Sáng
07/11/2021 ;Khánh Hòa;2;T_i
07/11/2021 ;Bình __nh;1;T_i
07/11/2021 ;Ninh Bình;1;T_i
07/11/2021 ;Bình D__ng;195;T_i
07/11/2021 ;__ng Tháp;50;T_i
07/11/2021 ;Long An;46;T_i
07/11/2021 ;Phú Yên;32;T_i
07/11/2021 ;B_c Ninh;7;T_i
07/11/2021 ;_à N_ng;6;T_i
07/11/2021 ;B_c Giang;4;T_i
07/11/2021 ;Sóc Tr_ng;3;T_i
07/11/2021 ;Trà Vinh;2;T_i
07/11/2021 ;Ninh Thu_n;2;T_i
07/11/2021 ;Qu_ng Ngãi;2;T_i
07/11/2021 ;Lâm __ng;1;T_i
07/11/2021 ;Bình __nh;1;T_i
07/11/2021 ;C_n Th_;1;T_i
07/11/2021 ;Hà N_i;1;T_i
07/11/2021 ;B_c Giang;9;Tr_a
07/11/2021 ;Hà N_i;6;Tr_a
07/11/2021 ;H_ng Yên;3;Tr_a
07/11/2021 ;Bà R_a - V_ng Tàu;3;Tr_a
07/11/2021 ;Ninh Thu_n;2;Tr_a
07/11/2021 ;Hà T_nh;2;Tr_a
07/11/2021 ;Bình Thu_n;2;Tr_a
07/11/2021 ;Bình __nh;1;Tr_a
07/11/2021 ;__k Nông;1;Tr_a
07/11/2021 ;Lâm __ng;1;Tr_a
07/11/2021 ;H_i Phòng;1;Tr_a
07/11/2021 ;Thanh Hóa;1;Tr_a
07/11/2021 ;Ti_n Giang;46;Sáng
07/11/2021 ;V_nh Long;43;Sáng
07/11/2021 ;Bình D__ng;39;Sáng
07/11/2021 ;H_u Giang;9;Sáng
07/11/2021 ;B_n Tre;7;Sáng
07/11/2021 ;An Giang;7;Sáng
07/11/2021 ;Phú Yên;4;Sáng
07/11/2021 ;B_c Ninh;3;Sáng
07/11/2021 ;Bình Ph__c;2;Sáng
07/11/2021 ;Cà Mau;1;Sáng
07/11/2021 ;Qu_ng Nam;1;Sáng
07/11/2021 ;B_c Liêu;1;Sáng
07/12/2021 ;Bình D__ng;128;T_i
07/12/2021 ;Khánh Hòa;31;T_i
07/12/2021 ;Ti_n Giang;26;T_i
07/12/2021 ;Phú Yên;17;T_i
07/12/2021 ;_à N_ng;14;T_i
07/12/2021 ;Trà Vinh;8;T_i
07/12/2021 ;H_u Giang;8;T_i
07/12/2021 ;Qu_ng Ngãi;7;T_i
07/12/2021 ;Sóc Tr_ng;4;T_i
07/12/2021 ;B_c Ninh;4;T_i
07/12/2021 ;An Giang;3;T_i
07/12/2021 ;Hà N_i;3;T_i
07/12/2021 ;Thanh Hóa;2;T_i
07/12/2021 ;__ng Tháp;2;T_i
07/12/2021 ;Nam __nh;2;T_i
07/12/2021 ;Bình Ph__c;2;T_i
07/12/2021 ;__k Nông;1;T_i
07/12/2021 ;H_i Phòng;1;Tr_a
07/12/2021 ;Hoà Bình;1;Tr_a
07/12/2021 ;__ng Nai;82;Tr_a
07/12/2021 ;Ti_n Giang;49;Tr_a
07/12/2021 ;__ng Tháp;38;Tr_a
07/12/2021 ;Hà N_i;26;Tr_a
07/12/2021 ;Phú Yên;9;Tr_a
07/12/2021 ;B_c Giang;7;Tr_a
07/12/2021 ;H_ng Yên;7;Tr_a
07/12/2021 ;Tây Ninh;3;Tr_a
07/12/2021 ;B_c Liêu;2;Tr_a
07/12/2021 ;Bình Ph__c;1;Tr_a
07/12/2021 ;Sóc Tr_ng;1;Tr_a
07/12/2021 ;V_nh Phúc;1;Tr_a
07/12/2021 ;An Giang;1;Sáng
07/12/2021 ;Ti_n Giang;43;Sáng
07/12/2021 ;Khánh Hoà;27;Sáng
07/12/2021 ;V_nh Long;26;Sáng
07/12/2021 ;An Giang;8;Sáng
07/12/2021 ;Bình Ph__c;5;Sáng
07/12/2021 ;Phú Yên;4;Sáng
07/12/2021 ;Hu_;1;Sáng
07/12/2021 ;Ngh_ An;1;Sáng
07/13/2021 ;Bình D__ng;186;T_i
07/13/2021 ;Long An;49;T_i
07/13/2021 ;__ng Tháp;19;T_i
07/13/2021 ;Phú Yên;15;T_i
07/13/2021 ;H_ng Yên;8;T_i
07/13/2021 ;Hà N_i;6;T_i
07/13/2021 ;C_n Th_;5;T_i
07/13/2021 ;An Giang;4;T_i
07/13/2021 ;_à N_ng;4;T_i
07/13/2021 ;Trà Vinh;3;T_i
07/13/2021 ;Kiên Giang;3;T_i
07/13/2021 ;B_c Giang;1;T_i
07/13/2021 ;Long An;29;Tr_a
07/13/2021 ;Bà R_a – V_ng Tàu;27;Tr_a
07/13/2021 ;__ng Tháp;12;Tr_a
07/13/2021 ;B_n Tre;11;Tr_a
07/13/2021 ;Phú Yên;4;Tr_a
07/13/2021 ;Qu_ng Ngãi;2;Tr_a
07/13/2021 ;Bình Thu_n;2;Tr_a
07/13/2021 ;B_c Ninh;2;Tr_a
07/13/2021 ;Nam __nh;1;Tr_a
07/13/2021 ;Ngh_ An;1;Tr_a
07/13/2021 ;B_c Giang;1;Tr_a
07/13/2021 ;Hà N_i;1;Tr_a
07/13/2021 ;Lào Cai;1;Tr_a
07/13/2021 ;Bình Ph__c;1;Tr_a
07/13/2021 ;Thanh Hóa;1;Tr_a
07/13/2021 ;Long An;52;Sáng
07/13/2021 ;V_nh Long;23;Sáng
07/13/2021 ;__ng Nai;12;Sáng
07/13/2021 ;Phú Yên;7;Sáng
07/13/2021 ;Tây Ninh;5;Sáng
07/13/2021 ;Hà N_i;1;Sáng
07/14/2021 ;Qu_ng Nam;2;T_i
07/14/2021 ;Hà N_i;1;T_i
07/14/2021 ;Bình D__ng;73;T_i
07/14/2021 ;__ng Tháp;42;T_i
07/14/2021 ;__ng Nai;38;T_i
07/14/2021 ;_à N_ng;15;T_i
07/14/2021 ;Sóc Tr_ng;12;T_i
07/14/2021 ;Bình Thu_n;9;T_i
07/14/2021 ;Kiên Giang;9;T_i
07/14/2021 ;C_n Th_;8;T_i
07/14/2021 ;Phú Yên;6;T_i
07/14/2021 ;Hà N_i;4;T_i
07/14/2021 ;Qu_ng Ngãi;4;T_i
07/14/2021 ;Ngh_ An;3;T_i
07/14/2021 ;Trà Vinh;2;T_i
07/14/2021 ;Hà T_nh;1;T_i
07/14/2021 ;Cà Mau;1;T_i
07/14/2021 ;B_c Giang;1;T_i
07/14/2021 ;B_c Ninh;1;T_i
07/14/2021 ;L_ng S_n;1;T_i
07/14/2021 ;Bình Ph__c;1;T_i
07/14/2021 ;Ti_n Giang;115;Tr_a
07/14/2021 ;__ng Tháp;91;Tr_a
07/14/2021 ;Phú Yên;8;Tr_a
07/14/2021 ;B_n Tre;3;Tr_a
07/14/2021 ;B_c Giang;2;Tr_a
07/14/2021 ;Hu_;1;Tr_a
07/14/2021 ;V_nh Phúc;1;Tr_a
07/14/2021 ;Lào Cai;1;Tr_a
07/14/2021 ;Lâm __ng;1;Tr_a
07/14/2021 ;Ngh_ An;1;Tr_a
07/14/2021 ;Hà N_i;1;Tr_a
07/14/2021 ;__ng Nai;80;Sáng
07/14/2021 ;Khánh Hoà;44;Sáng
07/14/2021 ;B_n Tre;43;Sáng
07/14/2021 ;Bà R_a – V_ng Tàu;19;Sáng
07/14/2021 ;Phú Yên;18;Sáng
07/14/2021 ;V_nh Long;17;Sáng
07/14/2021 ;Ninh Thu_n;4;Sáng
07/14/2021 ;Tây Ninh;4;Sáng
07/14/2021 ;Kiên Giang;2;Sáng
07/14/2021 ;Hu_;2;Sáng
07/14/2021 ;An Giang;2;Sáng
07/14/2021 ;B_c Ninh;2;Sáng
07/14/2021 ;Sóc Tr_ng;1;Sáng
07/14/2021 ;Bình __nh;1;Sáng
07/15/2021 ;HCM;10;T_i
07/15/2021 ;Hà N_i;2;T_i
07/15/2021 ;Qu_ng Nam;1;T_i
07/15/2021 ;Bình __nh;1;T_i
07/15/2021 ;Bình D__ng;122;T_i
07/15/2021 ;__ng Tháp;63;T_i
07/15/2021 ;__ng Nai;60;T_i
07/15/2021 ;Long An;41;T_i
07/15/2021 ;_à N_ng;33;T_i
07/15/2021 ;B_n Tre;30;T_i
07/15/2021 ;Phú Yên;30;T_i
07/15/2021 ;V_nh Long;17;T_i
07/15/2021 ;Bình Thu_n;17;T_i
07/15/2021 ;Bình Ph__c;13;T_i
07/15/2021 ;H_ng Yên;12;T_i
07/15/2021 ;C_n Th_;11;T_i
07/15/2021 ;Ninh Thu_n;10;T_i
07/15/2021 ;Hà N_i;7;T_i
07/15/2021 ;Sóc Tr_ng;4;T_i
07/15/2021 ;Qu_ng Ngãi;4;T_i
07/15/2021 ;Khánh Hòa;4;T_i
07/15/2021 ;B_c Ninh;3;T_i
07/15/2021 ;Trà Vinh;3;T_i
07/15/2021 ;Bình __nh;1;T_i
07/15/2021 ;Cà Mau;1;T_i
07/15/2021 ;V_nh Phúc;1;T_i
07/15/2021 ;Lâm __ng;1;T_i
07/15/2021 ;__k L_k;1;T_i
07/15/2021 ;B_c Giang;1;T_i
07/15/2021 ;Ninh Bình;1;Sáng
07/15/2021 ;Bà R_a - V_ng Tàu;1;Sáng
07/15/2021 ;__ng Nai;72;Sáng
07/15/2021 ;__ng Tháp;36;Sáng
07/15/2021 ;Phú Yên;18;Sáng
07/15/2021 ;Khánh Hòa;18;Sáng
07/15/2021 ;Bà R_a - V_ng Tàu;17;Sáng
07/15/2021 ;Hà N_i;11;Sáng
07/15/2021 ;H_ng Yên;10;Sáng
07/15/2021 ;An Giang;8;Sáng
07/15/2021 ;Ninh Thu_n;7;Sáng
07/15/2021 ;__k Nông;1;Sáng
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;